Source,Target,Weight
3-й служитель,Голоса гостей,1
3-й служитель,Дети,1
3-й служитель,Директор,1
3-й служитель,Председатель совета,1
3-й служитель,Присыпкин (Пьер Скрипкин),1
3-й служитель,Распорядитель,1
3-й старик,3-я старуха,1
3-й старик,4-й служитель,1
3-й старик,5-й служитель,1
3-й старик,6-й служитель,1
3-й старик,Голос из толпы 1,1
3-й старик,Голос из толпы 2,1
3-й старик,Голос из толпы 3,1
3-й старик,Голоса гостей,1
3-й старик,Дети,1
3-й старик,Директор,1
3-й старик,Председатель совета,1
3-й старик,Присыпкин (Пьер Скрипкин),1
3-й старик,Распорядитель,1
3-я старуха,4-й служитель,1
3-я старуха,5-й служитель,1
3-я старуха,6-й служитель,1
3-я старуха,Голос из толпы 1,1
3-я старуха,Голос из толпы 2,1
3-я старуха,Голос из толпы 3,1
3-я старуха,Голоса гостей,1
3-я старуха,Дети,1
3-я старуха,Директор,1
3-я старуха,Председатель совета,1
3-я старуха,Присыпкин (Пьер Скрипкин),1
3-я старуха,Распорядитель,1
4-й газетчик,4-й репортёр,1
4-й газетчик,5-й газетчик,1
4-й газетчик,5-й репортёр,1
4-й газетчик,6-й газетчик,1
4-й газетчик,6-й репортёр,1
4-й газетчик,7-й газетчик,1
4-й газетчик,7-й репортёр,1
4-й газетчик,8-й газетчик,1
4-й газетчик,8-й репортёр,1
4-й газетчик,9-й репортёр,1
4-й газетчик,Молодой,1
4-й газетчик,Оратор,1
4-й газетчик,Старый,1
4-й пожарный,Начальник,1
4-й репортёр,5-й газетчик,1
4-й репортёр,5-й репортёр,1
4-й репортёр,6-й газетчик,1
4-й репортёр,6-й репортёр,1
4-й репортёр,7-й газетчик,1
4-й репортёр,7-й репортёр,1
4-й репортёр,8-й газетчик,1
4-й репортёр,8-й репортёр,1
4-й репортёр,9-й репортёр,1
4-й репортёр,Молодой,1
4-й репортёр,Оратор,1
4-й репортёр,Старый,1
4-й служитель,5-й служитель,1
4-й служитель,6-й служитель,1
4-й служитель,Голос из толпы 1,1
4-й служитель,Голос из толпы 2,1
4-й служитель,Голос из толпы 3,1
4-й служитель,Голоса гостей,1
4-й служитель,Дети,1
4-й служитель,Директор,1
4-й служитель,Председатель совета,1
4-й служитель,Присыпкин (Пьер Скрипкин),1
4-й служитель,Распорядитель,1
5-й газетчик,5-й репортёр,1
5-й газетчик,6-й газетчик,1
5-й газетчик,6-й репортёр,1
5-й газетчик,7-й газетчик,1
5-й газетчик,7-й репортёр,1
5-й газетчик,8-й газетчик,1
5-й газетчик,8-й репортёр,1
5-й газетчик,9-й репортёр,1
5-й газетчик,Молодой,1
5-й газетчик,Оратор,1
5-й газетчик,Старый,1
5-й репортёр,6-й газетчик,1
5-й репортёр,6-й репортёр,1
